2191,27.94, 49
57691,28.44, 56
Vazao | Tempo: 57692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 58032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 58532, Pulsos: 0, PWMooler: 4
59191,28.44, 56
Vazao | Tempo: 59192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 59532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 60032, Pulsos: 0, PWMooler: 4
60691,28.44, 56
Vazao | Tempo: 60692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 61032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 61532, Pulsos: 0, PWMooler: 4
62191,28.50, 56
Vazao | Tempo: 62192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 62532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 63032, Pulsos: 0, PWMooler: 4
63691,28.50, 57
Vazao | Tempo: 63692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 64032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 64532, Pulsos: 0, PWMooler: 4
65191,28.50, 57
Vazao | Tempo: 65191, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 65532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 66032, Pulsos: 0, PWMooler: 4
66691,28.56, 57
Vazao | Tempo: 66692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 67032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 67532, Pulsos: 0, PWMooler: 4
68191,28.56, 57
Vazao | Tempo: 68191, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 68532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 69032, Pulsos: 0, PWMooler: 4
69691,28.56, 57
Vazao | Tempo: 69692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 70032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 70532, Pulsos: 0, PWMooler: 4
71191,28.56, 57
Vazao | Tempo: 71192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 71532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 72032, Pulsos: 0, PWMooler: 4
72691,28.62, 57
Vazao | Tempo: 72692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 73032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 73532, Pulsos: 0, PWMooler: 4
74191,28.62, 58
Vazao | Tempo: 74192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 74532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 75032, Pulsos: 0, PWMooler: 4
75691,28.69, 58
Vazao | Tempo: 75692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 76032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 76532, Pulsos: 0, PWMooler: 4
77191,28.69, 58
Vazao | Tempo: 77192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 77532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 78032, Pulsos: 0, PWMooler: 4
78691,28.69, 58
Vazao | Tempo: 78692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 79032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 79532, Pulsos: 0, PWMooler: 4
80191,28.75, 58
Vazao | Tempo: 80192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 80532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 81032, Pulsos: 0, PWMooler: 4
81691,28.75, 58
Vazao | Tempo: 81692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 82032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 82532, Pulsos: 0, PWMooler: 4
83191,28.75, 59
Vazao | Tempo: 83192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 83532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 84032, Pulsos: 0, PWMooler: 4
84691,28.81, 59
Vazao | Tempo: 84692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 85032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 85532, Pulsos: 0, PWMooler: 4
86191,28.81, 59
Vazao | Tempo: 86192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 86532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 87032, Pulsos: 0, PWMooler: 4
87691,28.81, 59
Vazao | Tempo: 87692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 88032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 88532, Pulsos: 0, PWMooler: 4
89191,28.88, 59
Vazao | Tempo: 89192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 89532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 90032, Pulsos: 0, PWMooler: 4
90691,28.88, 59
Vazao | Tempo: 90692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 91032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 91532, Pulsos: 0, PWMooler: 4
92191,28.94, 59
Vazao | Tempo: 92192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 92532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 93032, Pulsos: 0, PWMooler: 4
93691,28.94, 59
Vazao | Tempo: 93692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 94032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 94532, Pulsos: 0, PWMooler: 4
95191,28.94, 60
Vazao | Tempo: 95192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 95532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 96032, Pulsos: 0, PWMooler: 4
96691,29.00, 60
Vazao | Tempo: 96692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 97032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 97532, Pulsos: 0, PWMooler: 4
98191,29.00, 60
Vazao | Tempo: 98192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 98532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 99032, Pulsos: 0, PWMooler: 4
99691,29.00, 60
Vazao | Tempo: 99692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 100032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 100532, Pulsos: 0, PWMooler: 4
101191,29.06, 60
Vazao | Tempo: 101192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 101532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 102032, Pulsos: 0, PWMooler: 4
102691,29.06, 60
Vazao | Tempo: 102692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 103032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 103532, Pulsos: 0, PWMooler: 4
104191,29.06, 60
Vazao | Tempo: 104192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 104532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 105032, Pulsos: 0, PWMooler: 4
105691,29.12, 60
Vazao | Tempo: 105692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 106032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 106532, Pulsos: 0, PWMooler: 4
107191,29.12, 61
Vazao | Tempo: 107192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 107532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 108032, Pulsos: 0, PWMooler: 4
108691,29.12, 61
Vazao | Tempo: 108692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 109032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 109532, Pulsos: 0, PWMooler: 4
110191,29.19, 61
Vazao | Tempo: 110192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 110532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 111032, Pulsos: 0, PWMooler: 4
111691,29.19, 61
Vazao | Tempo: 111692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 112032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 112532, Pulsos: 0, PWMooler: 4
113191,29.25, 61
Vazao | Tempo: 113192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 113532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 114032, Pulsos: 0, PWMooler: 4
114691,29.25, 61
Vazao | Tempo: 114692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 115032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 115532, Pulsos: 0, PWMooler: 4
116191,29.25, 61
Vazao | Tempo: 116192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 116532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 117032, Pulsos: 0, PWMooler: 4
117691,29.31, 61
Vazao | Tempo: 117692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 118032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 118532, Pulsos: 0, PWMooler: 4
119191,29.31, 62
Vazao | Tempo: 119192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 119532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 120032, Pulsos: 0, PWMooler: 4
120691,29.31, 62
Vazao | Tempo: 120692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 121032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 121532, Pulsos: 0, PWMooler: 4
122191,29.38, 62
Vazao | Tempo: 122192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 122532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 123032, Pulsos: 0, PWMooler: 4
123691,29.38, 62
Vazao | Tempo: 123692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 124032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 124532, Pulsos: 0, PWMooler: 4
125191,29.38, 62
Vazao | Tempo: 125192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 125532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 126032, Pulsos: 0, PWMooler: 4
126691,29.44, 62
Vazao | Tempo: 126692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 127032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 127532, Pulsos: 0, PWMooler: 4
128191,29.44, 62
Vazao | Tempo: 128192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 128532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 129032, Pulsos: 0, PWMooler: 4
129691,29.50, 62
Vazao | Tempo: 129692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 130032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 130532, Pulsos: 0, PWMooler: 4
131191,29.50, 63
Vazao | Tempo: 131192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 131532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 132032, Pulsos: 0, PWMooler: 4
132691,29.50, 63
Vazao | Tempo: 132692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 133032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 133532, Pulsos: 0, PWMooler: 4
134191,29.56, 63
Vazao | Tempo: 134192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 134532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 135032, Pulsos: 0, PWMooler: 4
135691,29.56, 63
Vazao | Tempo: 135692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 136032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 136532, Pulsos: 0, PWMooler: 4
137191,29.56, 63
Vazao | Tempo: 137192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 137532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 138032, Pulsos: 0, PWMooler: 4
138691,29.62, 63
Vazao | Tempo: 138692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 139032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 139532, Pulsos: 0, PWMooler: 4
140191,29.62, 63
Vazao | Tempo: 140192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 140532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 141032, Pulsos: 0, PWMooler: 4
141691,29.62, 64
Vazao | Tempo: 141692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 142032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 142532, Pulsos: 0, PWMooler: 4
143191,29.69, 64
Vazao | Tempo: 143192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 143532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 144032, Pulsos: 0, PWMooler: 4
144691,29.69, 64
Vazao | Tempo: 144692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 145032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 145532, Pulsos: 0, PWMooler: 4
146191,29.69, 64
Vazao | Tempo: 146192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 146532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 147032, Pulsos: 0, PWMooler: 4
147691,29.75, 64
Vazao | Tempo: 147692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 148032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 148532, Pulsos: 0, PWMooler: 4
149191,29.75, 64
Vazao | Tempo: 149192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 149532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 150032, Pulsos: 0, PWMooler: 4
150691,29.81, 64
Vazao | Tempo: 150692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 151032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 151532, Pulsos: 0, PWMooler: 4
152191,29.81, 64
Vazao | Tempo: 152192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 152532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 153032, Pulsos: 0, PWMooler: 4
153691,29.81, 65
Vazao | Tempo: 153692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 154032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 154532, Pulsos: 0, PWMooler: 4
155191,29.88, 64
Vazao | Tempo: 155192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 155532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 156032, Pulsos: 0, PWMooler: 4
156691,29.88, 65
Vazao | Tempo: 156692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 157032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 157532, Pulsos: 0, PWMooler: 4
158191,29.94, 65
Vazao | Tempo: 158192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 158532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 159032, Pulsos: 0, PWMooler: 4
159691,29.94, 65
Vazao | Tempo: 159692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 160032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 160532, Pulsos: 0, PWMooler: 4
161191,29.94, 65
Vazao | Tempo: 161192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 161532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 162032, Pulsos: 0, PWMooler: 4
162691,30.00, 65
Vazao | Tempo: 162692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 163032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 163532, Pulsos: 0, PWMooler: 4
164191,30.00, 65
Vazao | Tempo: 164192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 164532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 165032, Pulsos: 0, PWMooler: 4
165691,30.00, 65
Vazao | Tempo: 165692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 166032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 166532, Pulsos: 0, PWMooler: 4
167191,30.06, 65
Vazao | Tempo: 167192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 167532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 168032, Pulsos: 0, PWMooler: 4
168691,30.06, 66
Vazao | Tempo: 168692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 169032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 169532, Pulsos: 0, PWMooler: 4
170191,30.12, 66
Vazao | Tempo: 170192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 170532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 171032, Pulsos: 0, PWMooler: 4
171691,30.12, 66
Vazao | Tempo: 171692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 172032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 172532, Pulsos: 0, PWMooler: 4
173191,30.12, 66
Vazao | Tempo: 173192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 173532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 174032, Pulsos: 0, PWMooler: 4
174691,30.19, 66
Vazao | Tempo: 174692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 175032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 175532, Pulsos: 0, PWMooler: 4
176191,30.19, 66
Vazao | Tempo: 176192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 176532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 177032, Pulsos: 0, PWMooler: 4
177691,30.19, 66
Vazao | Tempo: 177692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 178032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 178532, Pulsos: 0, PWMooler: 4
179191,30.25, 66
Vazao | Tempo: 179192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 179532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 180032, Pulsos: 0, PWMooler: 4
180691,30.25, 66
Vazao | Tempo: 180692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 181032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 181532, Pulsos: 0, PWMooler: 4
182191,30.25, 67
Vazao | Tempo: 182192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 182532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 183032, Pulsos: 0, PWMooler: 4
183691,30.31, 67
Vazao | Tempo: 183692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 184032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 184532, Pulsos: 0, PWMooler: 4
185191,30.31, 67
Vazao | Tempo: 185192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 185532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 186032, Pulsos: 0, PWMooler: 4
186691,30.31, 67
Vazao | Tempo: 186692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 187032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 187532, Pulsos: 0, PWMooler: 4
188191,30.38, 67
Vazao | Tempo: 188192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 188532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 189032, Pulsos: 0, PWMooler: 4
189691,30.38, 67
Vazao | Tempo: 189692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 190032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 190532, Pulsos: 0, PWMooler: 4
191191,30.38, 67
Vazao | Tempo: 191192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 191532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 192032, Pulsos: 0, PWMooler: 4
192691,30.44, 67
Vazao | Tempo: 192692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 193032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 193532, Pulsos: 0, PWMooler: 4
194191,30.44, 67
Vazao | Tempo: 194192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 194532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 195032, Pulsos: 0, PWMooler: 4
195691,30.44, 68
Vazao | Tempo: 195692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 196032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 196532, Pulsos: 0, PWMooler: 4
197191,30.50, 68
Vazao | Tempo: 197192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 197532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 198032, Pulsos: 0, PWMooler: 4
198691,30.50, 68
Vazao | Tempo: 198692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 199032, Pulsos: 0, PWMooler: 4
